✅ 18:18:49 | root | Initializing bidirectional synchronizer
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto PERSONALIZADA LUXO (ID: 71865906) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 71716778 (body FBI fantasia) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto body FBI fantasia (ID: 71716778) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 71577462 (HOT BALL PLUS SHOK) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto HOT BALL PLUS SHOK (ID: 71577462) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 71272588 (LAP SHOCK GIN bisnaga Menta Ice 8g) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto LAP SHOCK GIN bisnaga Menta Ice 8g (ID: 71272588) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 70888467 (PERFUME SPRAY OUSADA) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto PERFUME SPRAY OUSADA (ID: 70888467) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 70703304 (CHIBATA CORAÇÃO CRAVO) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto CHIBATA CORAÇÃO CRAVO (ID: 70703304) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 70394674 (FACIL LUB 120G SABORES 7899702309923) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto FACIL LUB 120G SABORES 7899702309923 (ID: 70394674) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 70059769 (BODY ROMANTICA) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto BODY ROMANTICA (ID: 70059769) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 69811726 (CINTA LIGA SAIA) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto CINTA LIGA SAIA (ID: 69811726) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 69585879 (HOT BALL PLUS ESQUENTA HOT) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto HOT BALL PLUS ESQUENTA HOT (ID: 69585879) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 69398193 (BISNAGA NINFES 8G) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto BISNAGA NINFES 8G (ID: 69398193) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 69398103 (BISNAGA EXCY PINK 8G) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
